nombre,precio,ingredientes,url_producto,imagen_url
Avène Hydrance UV Rica Crema Hidratante SPF30 40ml,"23,89€",AVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYL BENZOATE. DICAPRYLYL CARBONATE. DIISOPROPYL ADIPATE. GLYCERIN. METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. WATER (AQUA). BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. POLYMETHYL METHACRYLATE. BUTYL METHOXYDIBENZOYLMETHANE. BUTYROSPERMUM PARKII (SHEA) BUTTER (BUTYROSPERMUM PARKII BUTTER). METHYL GLUCETH-20. ISOCETYL STEAROYL STEARATE. TRIETHYLHEXANOIN. HYDROGENATED STARCH HYDROLYSATE. C10-18 TRIGLYCERIDES. GLYCERYL STEARATE. PEG-100 STEARATE. POTASSIUM CETYL PHOSPHATE. BENZOIC ACID. CAPRYLIC/CAPRIC TRIGLYCERIDE. CAPRYLYL GLYCOL. DECYL GLUCOSIDE. DISODIUM EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. PHYTOSTEROLS. POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. PROPYLENE GLYCOL. SORBITAN ISOSTEARATE. STEARYL ALCOHOL. TOCOPHEROL. TOCOPHERYL GLUCOSIDE. TRIBEHENIN. XANTHAN GUM,https://www.promofarma.com/es/avene-hydrance-uv-rica-crema-hidratante-spf30-40ml/p-8345,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/ZYHAL_es_ES_0.jpg
Avène Cicalfate + Crema Reparadora Multiprotectora SPF50+ 30ml,"17,39€",No encontrado,https://www.promofarma.com/es/avene-cicalfate-crema-reparadora-multiprotectora-spf50-30ml/p-767854,https://statics.promofarma.com/static/promofarma/prod/product_images/z/WG3HMZRN_es_ES_0.jpg
Avène Antirojeces Dia Emulsión Hidratante SPF30 40ml,"22,80€","AVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYL BENZOATE. DICAPRYLYL CARBONATE. GLYCERIN. DIISOPROPYL ADIPATE. METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. WATER (AQUA). BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. SILICA. BUTYL METHOXYDIBENZOYLMETHANE. GLYCERYL STEARATE. PEG-100 STEARATE. POTASSIUM CETYL PHOSPHATE. 1,2-HEXANEDIOL. 4-T-BUTYLCYCLOHEXANOL. ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER. BLUE 1 (CI 42090). CAPRYLIC/CAPRIC TRIGLYCERIDE. CAPRYLYL GLYCOL. DECYL GLUCOSIDE. DISODIUM. EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. OCTYLDODECANOL. PONGAMIA GLABRA SEED OIL. PROPYLENE GLYCOL. SODIUM DEXTRAN SULFATE. SODIUM HYDROXIDE. TITANIUM. DIOXIDE (CI 77891). TOCOPHEROL. TOCOPHERYL GLUCOSIDE. TRIBEHENIN. TROPOLONE. XANTHAN GUM.",https://www.promofarma.com/es/avene-antirojeces-dia-emulsion-hidratante-spf30-40ml/p-8787,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/AA17T_es_ES_0.jpeg
Avène Rosamed SPF50+ Antirojeces Concentrado 30ml,"22,85€",No encontrado,https://www.promofarma.com/es/avene-rosamed-spf50-antirojeces-concentrado-30ml/p-771586,https://statics.promofarma.com/static/promofarma/prod/product_images/z/T0XM40HY_es_ES_0.jpg
Endocare C Ferulic Edafence Sérum 30ml,"42,29€","AQUA, 3-O-ETHYL ASCORBIC ACID, SNAIL SECRETION FILTRATE, CYCLOPENTASILOXANE, BUTYLENE GLYCOL, PENTYLENE GLYCOL, ISOSTEARYL ISOSTEARATE, PROPANEDIOL, DIBUTYL ADIPATE, SODIUM HYALURONATE CROSSPOLYMER, POLYACRYLATE CROSSPOLYMER-6, DESCHAMPSIA ANTARCTICA EXTRACT, FERULIC ACID, ARGININE, MALTODEXTRIN, ZEA MAYS STARCH, DIMETHICONE, POLYQUATERNIUM-10, ETHYLHEXYLGLYCERIN, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, SODIUM CITRATE, POLYSILICONE-11, CITRIC ACID, DECYL GLUCOSIDE, PARFUM, PHENOXYETHANOL.",https://www.promofarma.com/es/endocare-c-ferulic-edafence-serum-30ml/p-89106,https://statics.promofarma.com/static/promofarma/prod/product_images/z/GW0F9_pt_PT_0.jpeg
Avène Agua Termal 300ml,"9,69€",AVENE THERMAL SPRING WATER (AVENE AQUA).,https://www.promofarma.com/es/avene-agua-termal-300ml/p-8332,https://statics.promofarma.com/static/promofarma/prod/product_images/z/UQSVI_es_ES_0.jpg
Rosacure Fast 30ml,"18,19€","Aqua (Water), Dimethyl Sulfone, Glycerin, C12-15 Alkyl Benzoate, Dicaprylyl Ether, C15-19 Alkane, Pentylene Glycol, Arachidyl Alcohol, Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer, 4-T-Butylcyclohexanol, Behenyl Alcohol, Cetearyl Alcohol, Pentaerythrityl Distearate, Silybum Marianum Extract, Sodium Hyaluronate, Glycine Soja (Soybean) Protein, Polyglutamic Acid, Valine, Arachidyl Glucoside, Caprylyl Glycol, Benzyl Pca, Sodium Polyacrylate, Copernicia Cerifera Cera (Copernicia Cerifera (Carnauba) Wax), Cetearyl Glucoside, Glycine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylhydroxamic Acid, Propylene Glycol, BHT.",https://www.promofarma.com/es/rosacure-fast-30ml/p-11421,https://statics.promofarma.com/static/promofarma/prod/product_images/z/GXCAI_es_ES_0.jpeg
"Endocare Renewal Retinol Intensive Serum 0,5% Pure Retinol 30ml","42,89€","CYCLOPENTASILOXANE, CAPRYLYL METHICONE, C12-15 ALKYL BENZOATE, UNDECANE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, TRISILOXANE, DIMETHYL ISOSORBIDE, PEG-7 GLYCERYL COCOATE, PENTYLENE GLYCOL, NIACINAMIDE, TRIDECANE, SODIUM HYALURONATE CROSSPOLYMER, PEG-12 DIMETHICONE/ PPG-CROSSPOLYMER, METHYL METHACRYLATE/GLYCOL DIMETHACRYLATE CROSSPOLYMER, BISABOLOL, RETINOL, HYDROXYPINACOLONE RETINOATE, ASCORBIC ACID, TOCHOPHERYL ACETATE, SILICA SILYLATE, ZEA MAYS STARCH, TETRAHEXYLDECYL ASCORBATE, PHENYLPROPANOL, POLYSORBATE 20, CAPRYLYL GLYCOL, PROPANEDIOL, SILICA, DIMETHICONE, PROPIL GALATE, DISODIUM EDTA, BHT, TOCOPHEROL.",https://www.promofarma.com/es/endocare-renewal-retinol-intensive-serum-0-5-pure-retinol-30ml/p-507150,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/CP4I0F_es_ES_0.jpeg
Xhekpon® Crema Facial 40ml,"8,36€",ALOE BARBADENSIS GEL. AQUA. BENZOIC ACID. C 12-20 ACID PEG-8 ESTER. CENTELLA ASIATIC EXTRACT. CETYL ALCOHOL. CITRONELLOL. COUMARIN. CYCLOMETHICONE. ETHYLPARABEN. GERANIOL. HYDROLYZED COLLAGEN. ISOPROPYL MYRISTATE. LINALOOL. METHYLPARABEN. PARFUM. PROPYLENE GLYCOL. SODIUM PCA. STEARIC ACID. TRIETHANOLAMINE. LIMONENE.,https://www.promofarma.com/es/xhekpon-crema-facial-40ml/p-8330,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/HOVQP_es_ES_0.jpeg
ISDIN Nutradeica Gel Crema Facial 50ml,"15,29€",PIROCTONE OLAMINA: ANTIFÚNGICO. STEARYL GLYCYRRHETINATE: ANTIINFLAMATORIO. PIDOLATO DE ZINC: SEBORREGULADOR. ACETAMIDA MEA: QUERATORREGULADOR. RHAMNOSOFT. POLYMETHYLMETHACRYLATE. SYMCALMIN.,https://www.promofarma.com/es/isdin-nutradeica-gel-crema-facial-50ml/p-13281,https://statics.promofarma.com/static/promofarma/prod/product_images/z/182YH_es_ES_0.jpg
La Roche-Posay Hyalu B5 Sérum 30ml,"37,55€",AQUA/WATER. GLYCERIN. ALCOHOL DENAT. PROPYLENE GLYCOL. PANTHENOL. PENTYLENE GLYCOL. DIMETHICONE. PEG-6 CAPRYLIC/CAPRIC GLYCERIDES. PPG-6-DECYLTETRADECETH-30. GLYCERYL ISOSTEARATE. MADECASSOSIDE. SODIUM HYALURONATE. AMMONIUM POLYACRYLOYLDIMETHYL TAURATE. DISODIUM EDTA. HYDROLYZED HYALURONIC ACID. CAPRYLYL GLYCOL. CITRIC ACID. XANTHAN GUM. BUTYLENE GLYCOL. TOCOPHEROL. PHENOXYETHANOL. PARFUM/FRAGRANCE.,https://www.promofarma.com/es/la-roche-posay-hyalu-b5-serum-30ml/p-83163,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/ZP2GF_es_ES_0.jpeg
Bioderma Sensibio H20 Agua Micelar 2x500ml,"20,89€",AQUA/WATER/EAU. PEG-6 CAPRYLIC/CAPRIC GLYCERIDES. FRUCTOOLIGOSACCHARIDES,https://www.promofarma.com/es/bioderma-sensibio-h20-agua-micelar-2x500ml/p-173931,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/60T03_es_ES_0.png
